,Batsmen,Country,Runs,OUT,Mins,Balls,4's,6's,SR,inn,opp,ground,date,Year,100's,50's,30's,Stadium,cont
7403,S Badree,West Indies,DNB,0,-,-,-,-,-,2,Sri Lanka,Bengaluru,20-Mar-16,2016,0,0,0,India,Asia
7404,DJG Sammy,West Indies,DNB,0,-,-,-,-,-,2,Sri Lanka,Bengaluru,20-Mar-16,2016,0,0,0,India,Asia
7405,NM Coulter-Nile,Australia,DNB,0,-,-,-,-,-,2,Bangladesh,Bengaluru,21-Mar-16,2016,0,0,0,India,Asia
7406,A Zampa,Australia,DNB,0,-,-,-,-,-,2,Bangladesh,Bengaluru,21-Mar-16,2016,0,0,0,India,Asia
7407,MJ Santner,New Zealand,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,22-Mar-16,2016,0,0,0,India,Asia
7408,MJ McClenaghan,New Zealand,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,22-Mar-16,2016,0,0,0,India,Asia
7409,IS Sodhi,New Zealand,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,22-Mar-16,2016,0,0,0,India,Asia
7410,AF Milne,New Zealand,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,22-Mar-16,2016,0,0,0,India,Asia
7411,LE Plunkett,England,DNB,0,-,-,-,-,-,1,Afghanistan,Delhi,23-Mar-16,2016,0,0,0,India,Asia
7412,AU Rashid,England,DNB,0,-,-,-,-,-,1,Afghanistan,Delhi,23-Mar-16,2016,0,0,0,India,Asia
7413,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,1,Bangladesh,Bengaluru,23-Mar-16,2016,0,0,0,India,Asia
7414,A Nehra,INDIA,DNB,0,-,-,-,-,-,1,Bangladesh,Bengaluru,23-Mar-16,2016,0,0,0,India,Asia
7415,JP Faulkner,Australia,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,25-Mar-16,2016,0,0,0,India,Asia
7416,NM Coulter-Nile,Australia,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,25-Mar-16,2016,0,0,0,India,Asia
7417,A Zampa,Australia,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,25-Mar-16,2016,0,0,0,India,Asia
7418,JR Hazlewood,Australia,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,25-Mar-16,2016,0,0,0,India,Asia
7419,PM Nevill,Australia,DNB,0,-,-,-,-,-,1,Pakistan,Mohali,25-Mar-16,2016,0,0,0,India,Asia
7420,Imran Tahir,South Africa,DNB,0,-,-,-,-,-,1,West Indies,Nagpur,25-Mar-16,2016,0,0,0,India,Asia
7421,K Rabada,South Africa,DNB,0,-,-,-,-,-,1,West Indies,Nagpur,25-Mar-16,2016,0,0,0,India,Asia
7422,SJ Benn,West Indies,DNB,0,-,-,-,-,-,2,South Africa,Nagpur,25-Mar-16,2016,0,0,0,India,Asia
7423,S Badree,West Indies,DNB,0,-,-,-,-,-,2,South Africa,Nagpur,25-Mar-16,2016,0,0,0,India,Asia
7424,IS Sodhi,New Zealand,DNB,0,-,-,-,-,-,1,Bangladesh,Kolkata,26-Mar-16,2016,0,0,0,India,Asia
7425,CJ Jordan,England,DNB,0,-,-,-,-,-,1,Sri Lanka,Delhi,26-Mar-16,2016,0,0,0,India,Asia
7426,AU Rashid,England,DNB,0,-,-,-,-,-,1,Sri Lanka,Delhi,26-Mar-16,2016,0,0,0,India,Asia
7427,MM Ali,England,DNB,0,-,-,-,-,-,1,Sri Lanka,Delhi,26-Mar-16,2016,0,0,0,India,Asia
7428,DJ Willey,England,DNB,0,-,-,-,-,-,1,Sri Lanka,Delhi,26-Mar-16,2016,0,0,0,India,Asia
7429,LE Plunkett,England,DNB,0,-,-,-,-,-,1,Sri Lanka,Delhi,26-Mar-16,2016,0,0,0,India,Asia
7430,SJ Benn,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Nagpur,27-Mar-16,2016,0,0,0,India,Asia
7431,NM Coulter-Nile,Australia,DNB,0,-,-,-,-,-,1,India,Mohali,27-Mar-16,2016,0,0,0,India,Asia
7432,A Zampa,Australia,DNB,0,-,-,-,-,-,1,India,Mohali,27-Mar-16,2016,0,0,0,India,Asia
7433,JR Hazlewood,Australia,DNB,0,-,-,-,-,-,1,India,Mohali,27-Mar-16,2016,0,0,0,India,Asia
7434,A Nehra,INDIA,DNB,0,-,-,-,-,-,2,Australia,Mohali,27-Mar-16,2016,0,0,0,India,Asia
7435,HH Pandya,INDIA,DNB,0,-,-,-,-,-,2,Australia,Mohali,27-Mar-16,2016,0,0,0,India,Asia
7436,RA Jadeja,INDIA,DNB,0,-,-,-,-,-,2,Australia,Mohali,27-Mar-16,2016,0,0,0,India,Asia
7437,R Ashwin,INDIA,DNB,0,-,-,-,-,-,2,Australia,Mohali,27-Mar-16,2016,0,0,0,India,Asia
7438,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,2,Australia,Mohali,27-Mar-16,2016,0,0,0,India,Asia
7439,KJ Abbott,South Africa,DNB,0,-,-,-,-,-,2,Sri Lanka,Delhi,28-Mar-16,2016,0,0,0,India,Asia
7440,F Behardien,South Africa,DNB,0,-,-,-,-,-,2,Sri Lanka,Delhi,28-Mar-16,2016,0,0,0,India,Asia
7441,AM Phangiso,South Africa,DNB,0,-,-,-,-,-,2,Sri Lanka,Delhi,28-Mar-16,2016,0,0,0,India,Asia
7442,DA Miller,South Africa,DNB,0,-,-,-,-,-,2,Sri Lanka,Delhi,28-Mar-16,2016,0,0,0,India,Asia
7443,D Wiese,South Africa,DNB,0,-,-,-,-,-,2,Sri Lanka,Delhi,28-Mar-16,2016,0,0,0,India,Asia
7444,DW Steyn,South Africa,DNB,0,-,-,-,-,-,2,Sri Lanka,Delhi,28-Mar-16,2016,0,0,0,India,Asia
7445,Imran Tahir,South Africa,DNB,0,-,-,-,-,-,2,Sri Lanka,Delhi,28-Mar-16,2016,0,0,0,India,Asia
7446,IS Sodhi,New Zealand,DNB,0,-,-,-,-,-,1,England,Delhi,30-Mar-16,2016,0,0,0,India,Asia
7447,AF Milne,New Zealand,DNB,0,-,-,-,-,-,1,England,Delhi,30-Mar-16,2016,0,0,0,India,Asia
7448,CJ Jordan,England,DNB,0,-,-,-,-,-,2,New Zealand,Delhi,30-Mar-16,2016,0,0,0,India,Asia
7449,AU Rashid,England,DNB,0,-,-,-,-,-,2,New Zealand,Delhi,30-Mar-16,2016,0,0,0,India,Asia
7450,MM Ali,England,DNB,0,-,-,-,-,-,2,New Zealand,Delhi,30-Mar-16,2016,0,0,0,India,Asia
7451,BA Stokes,England,DNB,0,-,-,-,-,-,2,New Zealand,Delhi,30-Mar-16,2016,0,0,0,India,Asia
7452,DJ Willey,England,DNB,0,-,-,-,-,-,2,New Zealand,Delhi,30-Mar-16,2016,0,0,0,India,Asia
7453,LE Plunkett,England,DNB,0,-,-,-,-,-,2,New Zealand,Delhi,30-Mar-16,2016,0,0,0,India,Asia
7454,R Ashwin,INDIA,DNB,0,-,-,-,-,-,1,West Indies,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7455,HH Pandya,INDIA,DNB,0,-,-,-,-,-,1,West Indies,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7456,RA Jadeja,INDIA,DNB,0,-,-,-,-,-,1,West Indies,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7457,SK Raina,INDIA,DNB,0,-,-,-,-,-,1,West Indies,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7458,A Nehra,INDIA,DNB,0,-,-,-,-,-,1,West Indies,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7459,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,1,West Indies,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7460,MK Pandey,INDIA,DNB,0,-,-,-,-,-,1,West Indies,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7461,SJ Benn,West Indies,DNB,0,-,-,-,-,-,2,India,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7462,D Ramdin,West Indies,DNB,0,-,-,-,-,-,2,India,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7463,DJ Bravo,West Indies,DNB,0,-,-,-,-,-,2,India,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7464,DJG Sammy,West Indies,DNB,0,-,-,-,-,-,2,India,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7465,CR Brathwaite,West Indies,DNB,0,-,-,-,-,-,2,India,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7466,S Badree,West Indies,DNB,0,-,-,-,-,-,2,India,Mumbai,31-Mar-16,2016,0,0,0,India,Asia
7467,S Badree,West Indies,DNB,0,-,-,-,-,-,2,England,Kolkata,3-Apr-16,2016,0,0,0,India,Asia
7468,SJ Benn,West Indies,DNB,0,-,-,-,-,-,2,England,Kolkata,3-Apr-16,2016,0,0,0,India,Asia
7469,D Ramdin,West Indies,DNB,0,-,-,-,-,-,2,England,Kolkata,3-Apr-16,2016,0,0,0,India,Asia
7470,JD Unadkat,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,18-Jun-16,2016,0,0,0,Zimbabwe,Africa
7471,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,18-Jun-16,2016,0,0,0,Zimbabwe,Africa
7472,YS Chahal,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,18-Jun-16,2016,0,0,0,Zimbabwe,Africa
7473,MS Dhoni,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7474,YS Chahal,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7475,MK Pandey,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7476,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7477,AT Rayudu,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7478,BB Sran,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7479,KM Jadhav,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7480,DS Kulkarni,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7481,AR Patel,INDIA,DNB,0,-,-,-,-,-,2,Zimbabwe,Harare,20-Jun-16,2016,0,0,0,Zimbabwe,Africa
7482,YS Chahal,INDIA,DNB,0,-,-,-,-,-,1,Zimbabwe,Harare,22-Jun-16,2016,0,0,0,Zimbabwe,Africa
7483,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,1,Zimbabwe,Harare,22-Jun-16,2016,0,0,0,Zimbabwe,Africa
7484,BB Sran,INDIA,DNB,0,-,-,-,-,-,1,Zimbabwe,Harare,22-Jun-16,2016,0,0,0,Zimbabwe,Africa
7485,TS Mills,England,DNB,0,-,-,-,-,-,2,Sri Lanka,Southampton,5-Jul-16,2016,0,0,0,England,Europe
7486,JM Bairstow,England,DNB,0,-,-,-,-,-,2,Sri Lanka,Southampton,5-Jul-16,2016,0,0,0,England,Europe
7487,CJ Jordan,England,DNB,0,-,-,-,-,-,2,Sri Lanka,Southampton,5-Jul-16,2016,0,0,0,England,Europe
7488,LA Dawson,England,DNB,0,-,-,-,-,-,2,Sri Lanka,Southampton,5-Jul-16,2016,0,0,0,England,Europe
7489,LE Plunkett,England,DNB,0,-,-,-,-,-,2,Sri Lanka,Southampton,5-Jul-16,2016,0,0,0,England,Europe
7490,SW Billings,England,DNB,0,-,-,-,-,-,2,Sri Lanka,Southampton,5-Jul-16,2016,0,0,0,England,Europe
7491,AU Rashid,England,DNB,0,-,-,-,-,-,2,Sri Lanka,Southampton,5-Jul-16,2016,0,0,0,England,Europe
7492,SP Narine,West Indies,DNB,0,-,-,-,-,-,1,India,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7493,S Badree,West Indies,DNB,0,-,-,-,-,-,1,India,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7494,ADS Fletcher,West Indies,DNB,0,-,-,-,-,-,1,India,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7495,Mohammed Shami,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7496,B Kumar,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7497,STR Binny,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7498,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7499,RA Jadeja,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7500,R Ashwin,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,27-Aug-16,2016,0,0,0,United States of America,North America
7501,RA Jadeja,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7502,R Ashwin,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7503,MS Dhoni,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7504,Mohammed Shami,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7505,B Kumar,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7506,V Kohli,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7507,A Mishra,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7508,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7509,KL Rahul,INDIA,DNB,0,-,-,-,-,-,2,West Indies,Lauderhill,28-Aug-16,2016,0,0,0,United States of America,North America
7510,PM Nevill,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Pallekele,6-Sep-16,2016,0,0,0,Sri Lanka,Asia
7511,A Zampa,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Pallekele,6-Sep-16,2016,0,0,0,Sri Lanka,Asia
7512,MA Starc,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Pallekele,6-Sep-16,2016,0,0,0,Sri Lanka,Asia
7513,MC Henriques,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Pallekele,6-Sep-16,2016,0,0,0,Sri Lanka,Asia
7514,GJ Bailey,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Pallekele,6-Sep-16,2016,0,0,0,Sri Lanka,Asia
7515,SM Boland,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Pallekele,6-Sep-16,2016,0,0,0,Sri Lanka,Asia
7516,JP Faulkner,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Pallekele,6-Sep-16,2016,0,0,0,Sri Lanka,Asia
7517,AU Rashid,England,DNB,0,-,-,-,-,-,1,Pakistan,Manchester,7-Sep-16,2016,0,0,0,England,Europe
7518,CJ Jordan,England,DNB,0,-,-,-,-,-,1,Pakistan,Manchester,7-Sep-16,2016,0,0,0,England,Europe
7519,A Zampa,Australia,DNB,0,-,-,-,-,-,2,Sri Lanka,Colombo (RPS),9-Sep-16,2016,0,0,0,Sri Lanka,Asia
7520,MA Starc,Australia,DNB,0,-,-,-,-,-,2,Sri Lanka,Colombo (RPS),9-Sep-16,2016,0,0,0,Sri Lanka,Asia
7521,JW Hastings,Australia,DNB,0,-,-,-,-,-,2,Sri Lanka,Colombo (RPS),9-Sep-16,2016,0,0,0,Sri Lanka,Asia
7522,S Badree,West Indies,DNB,0,-,-,-,-,-,2,Pakistan,Dubai (DSC),24-Sep-16,2016,0,0,0,United Arab Emirates,Asia
7523,CR Brathwaite,West Indies,DNB,0,-,-,-,-,-,1,Pakistan,Abu Dhabi,27-Sep-16,2016,0,0,0,United Arab Emirates,Asia
7524,KOK Williams,West Indies,DNB,0,-,-,-,-,-,1,Pakistan,Abu Dhabi,27-Sep-16,2016,0,0,0,United Arab Emirates,Asia
7525,SP Narine,West Indies,DNB,0,-,-,-,-,-,1,Pakistan,Abu Dhabi,27-Sep-16,2016,0,0,0,United Arab Emirates,Asia
7526,JE Taylor,West Indies,DNB,0,-,-,-,-,-,1,Pakistan,Abu Dhabi,27-Sep-16,2016,0,0,0,United Arab Emirates,Asia
7527,MJ Henry,New Zealand,DNB,0,-,-,-,-,-,2,Bangladesh,Napier,3-Jan-17,2017,0,0,0,New Zealand,Australia
7528,LH Ferguson,New Zealand,DNB,0,-,-,-,-,-,2,Bangladesh,Napier,3-Jan-17,2017,0,0,0,New Zealand,Australia
7529,MJ Santner,New Zealand,DNB,0,-,-,-,-,-,2,Bangladesh,Napier,3-Jan-17,2017,0,0,0,New Zealand,Australia
7530,BM Wheeler,New Zealand,DNB,0,-,-,-,-,-,2,Bangladesh,Napier,3-Jan-17,2017,0,0,0,New Zealand,Australia
7531,L Ronchi,New Zealand,DNB,0,-,-,-,-,-,2,Bangladesh,Napier,3-Jan-17,2017,0,0,0,New Zealand,Australia
7532,IS Sodhi,New Zealand,DNB,0,-,-,-,-,-,1,Bangladesh,Mount Maunganui,6-Jan-17,2017,0,0,0,New Zealand,Australia
7533,TA Boult,New Zealand,DNB,0,-,-,-,-,-,1,Bangladesh,Mount Maunganui,6-Jan-17,2017,0,0,0,New Zealand,Australia
7534,MJ Santner,New Zealand,DNB,0,-,-,-,-,-,1,Bangladesh,Mount Maunganui,8-Jan-17,2017,0,0,0,New Zealand,Australia
7535,TA Blundell,New Zealand,DNB,0,-,-,-,-,-,1,Bangladesh,Mount Maunganui,8-Jan-17,2017,0,0,0,New Zealand,Australia
7536,TA Boult,New Zealand,DNB,0,-,-,-,-,-,1,Bangladesh,Mount Maunganui,8-Jan-17,2017,0,0,0,New Zealand,Australia
7537,IS Sodhi,New Zealand,DNB,0,-,-,-,-,-,1,Bangladesh,Mount Maunganui,8-Jan-17,2017,0,0,0,New Zealand,Australia
7538,BM Wheeler,New Zealand,DNB,0,-,-,-,-,-,1,Bangladesh,Mount Maunganui,8-Jan-17,2017,0,0,0,New Zealand,Australia
7539,AL Phehlukwayo,South Africa,DNB,0,-,-,-,-,-,1,Sri Lanka,Centurion,20-Jan-17,2017,0,0,0,South Africa,Africa
7540,AM Phangiso,South Africa,DNB,0,-,-,-,-,-,1,Sri Lanka,Centurion,20-Jan-17,2017,0,0,0,South Africa,Africa
7541,L Ngidi,South Africa,DNB,0,-,-,-,-,-,1,Sri Lanka,Centurion,20-Jan-17,2017,0,0,0,South Africa,Africa
7542,Imran Tahir,South Africa,DNB,0,-,-,-,-,-,1,Sri Lanka,Centurion,20-Jan-17,2017,0,0,0,South Africa,Africa
7543,L Ngidi,South Africa,DNB,0,-,-,-,-,-,1,Sri Lanka,Cape Town,25-Jan-17,2017,0,0,0,South Africa,Africa
7544,D Paterson,South Africa,DNB,0,-,-,-,-,-,1,Sri Lanka,Cape Town,25-Jan-17,2017,0,0,0,South Africa,Africa
7545,Imran Tahir,South Africa,DNB,0,-,-,-,-,-,1,Sri Lanka,Cape Town,25-Jan-17,2017,0,0,0,South Africa,Africa
7546,AL Phehlukwayo,South Africa,DNB,0,-,-,-,-,-,1,Sri Lanka,Cape Town,25-Jan-17,2017,0,0,0,South Africa,Africa
7547,YS Chahal,INDIA,DNB,0,-,-,-,-,-,1,England,Kanpur,26-Jan-17,2017,0,0,0,India,Asia
7548,A Nehra,INDIA,DNB,0,-,-,-,-,-,1,England,Kanpur,26-Jan-17,2017,0,0,0,India,Asia
7549,AU Rashid,England,DNB,0,-,-,-,-,-,2,India,Kanpur,26-Jan-17,2017,0,0,0,India,Asia
7550,MM Ali,England,DNB,0,-,-,-,-,-,2,India,Kanpur,26-Jan-17,2017,0,0,0,India,Asia
7551,TS Mills,England,DNB,0,-,-,-,-,-,2,India,Kanpur,26-Jan-17,2017,0,0,0,India,Asia
7552,JC Buttler,England,DNB,0,-,-,-,-,-,2,India,Kanpur,26-Jan-17,2017,0,0,0,India,Asia
7553,CJ Jordan,England,DNB,0,-,-,-,-,-,2,India,Kanpur,26-Jan-17,2017,0,0,0,India,Asia
7554,LE Plunkett,England,DNB,0,-,-,-,-,-,2,India,Kanpur,26-Jan-17,2017,0,0,0,India,Asia
7555,A Nehra,INDIA,DNB,0,-,-,-,-,-,1,England,Nagpur,29-Jan-17,2017,0,0,0,India,Asia
7556,YS Chahal,INDIA,DNB,0,-,-,-,-,-,1,England,Nagpur,29-Jan-17,2017,0,0,0,India,Asia
7557,AU Rashid,England,DNB,0,-,-,-,-,-,2,India,Nagpur,29-Jan-17,2017,0,0,0,India,Asia
7558,TS Mills,England,DNB,0,-,-,-,-,-,2,India,Nagpur,29-Jan-17,2017,0,0,0,India,Asia
7559,LA Dawson,England,DNB,0,-,-,-,-,-,2,India,Nagpur,29-Jan-17,2017,0,0,0,India,Asia
7560,A Nehra,INDIA,DNB,0,-,-,-,-,-,1,England,Bengaluru,1-Feb-17,2017,0,0,0,India,Asia
7561,JJ Bumrah,INDIA,DNB,0,-,-,-,-,-,1,England,Bengaluru,1-Feb-17,2017,0,0,0,India,Asia
7562,YS Chahal,INDIA,DNB,0,-,-,-,-,-,1,England,Bengaluru,1-Feb-17,2017,0,0,0,India,Asia
7563,A Mishra,INDIA,DNB,0,-,-,-,-,-,1,England,Bengaluru,1-Feb-17,2017,0,0,0,India,Asia
7564,Imran Tahir,South Africa,DNB,0,-,-,-,-,-,1,New Zealand,Auckland,17-Feb-17,2017,0,0,0,New Zealand,Australia
7565,AL Phehlukwayo,South Africa,DNB,0,-,-,-,-,-,1,New Zealand,Auckland,17-Feb-17,2017,0,0,0,New Zealand,Australia
7566,D Paterson,South Africa,DNB,0,-,-,-,-,-,1,New Zealand,Auckland,17-Feb-17,2017,0,0,0,New Zealand,Australia
7567,B Stanlake,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Melbourne,17-Feb-17,2017,0,0,0,Australia,Australia
7568,AJ Tye,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Melbourne,17-Feb-17,2017,0,0,0,Australia,Australia
7569,A Zampa,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Melbourne,17-Feb-17,2017,0,0,0,Australia,Australia
7570,PJ Cummins,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Adelaide,22-Feb-17,2017,0,0,0,Australia,Australia
7571,A Zampa,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Adelaide,22-Feb-17,2017,0,0,0,Australia,Australia
7572,JA Richardson,Australia,DNB,0,-,-,-,-,-,1,Sri Lanka,Adelaide,22-Feb-17,2017,0,0,0,Australia,Australia
7573,S Badree,West Indies,DNB,0,-,-,-,-,-,1,Pakistan,Bridgetown,26-Mar-17,2017,0,0,0,West Indies,North America
7574,KOK Williams,West Indies,DNB,0,-,-,-,-,-,1,Pakistan,Bridgetown,26-Mar-17,2017,0,0,0,West Indies,North America
7575,KOK Williams,West Indies,DNB,0,-,-,-,-,-,2,Pakistan,Port of Spain,30-Mar-17,2017,0,0,0,West Indies,North America
7576,KOK Williams,West Indies,DNB,0,-,-,-,-,-,2,Pakistan,Port of Spain,1-Apr-17,2017,0,0,0,West Indies,North America
7577,JO Holder,West Indies,DNB,0,-,-,-,-,-,2,Pakistan,Port of Spain,1-Apr-17,2017,0,0,0,West Indies,North America
7578,KA Pollard,West Indies,DNB,0,-,-,-,-,-,2,Pakistan,Port of Spain,1-Apr-17,2017,0,0,0,West Indies,North America
7579,CR Brathwaite,West Indies,DNB,0,-,-,-,-,-,2,Pakistan,Port of Spain,1-Apr-17,2017,0,0,0,West Indies,North America
7580,SP Narine,West Indies,DNB,0,-,-,-,-,-,2,Pakistan,Port of Spain,1-Apr-17,2017,0,0,0,West Indies,North America
7581,S Badree,West Indies,DNB,0,-,-,-,-,-,2,Pakistan,Port of Spain,1-Apr-17,2017,0,0,0,West Indies,North America
7582,KOK Williams,West Indies,DNB,0,-,-,-,-,-,1,Pakistan,Port of Spain,2-Apr-17,2017,0,0,0,West Indies,North America
7583,SP Narine,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,2-Jun-17,2017,0,0,0,West Indies,North America
7584,JE Taylor,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,2-Jun-17,2017,0,0,0,West Indies,North America
7585,KOK Williams,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,2-Jun-17,2017,0,0,0,West Indies,North America
7586,S Badree,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,2-Jun-17,2017,0,0,0,West Indies,North America
7587,CR Brathwaite,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,2-Jun-17,2017,0,0,0,West Indies,North America
7588,SP Narine,West Indies,DNB,0,-,-,-,-,-,1,Afghanistan,Basseterre,3-Jun-17,2017,0,0,0,West Indies,North America
7589,JE Taylor,West Indies,DNB,0,-,-,-,-,-,1,Afghanistan,Basseterre,3-Jun-17,2017,0,0,0,West Indies,North America
7590,R Powell,West Indies,DNB,0,-,-,-,-,-,1,Afghanistan,Basseterre,3-Jun-17,2017,0,0,0,West Indies,North America
7591,KOK Williams,West Indies,DNB,0,-,-,-,-,-,1,Afghanistan,Basseterre,3-Jun-17,2017,0,0,0,West Indies,North America
7592,JN Mohammed,West Indies,DNB,0,-,-,-,-,-,1,Afghanistan,Basseterre,3-Jun-17,2017,0,0,0,West Indies,North America
7593,S Badree,West Indies,DNB,0,-,-,-,-,-,1,Afghanistan,Basseterre,3-Jun-17,2017,0,0,0,West Indies,North America
7594,R Powell,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,5-Jun-17,2017,0,0,0,West Indies,North America
7595,KOK Williams,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,5-Jun-17,2017,0,0,0,West Indies,North America
7596,S Badree,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,5-Jun-17,2017,0,0,0,West Indies,North America
7597,CR Brathwaite,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,5-Jun-17,2017,0,0,0,West Indies,North America
7598,SP Narine,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,5-Jun-17,2017,0,0,0,West Indies,North America
7599,JE Taylor,West Indies,DNB,0,-,-,-,-,-,2,Afghanistan,Basseterre,5-Jun-17,2017,0,0,0,West Indies,North America
7600,AL Phehlukwayo,South Africa,DNB,0,-,-,-,-,-,1,England,Southampton,21-Jun-17,2017,0,0,0,England,Europe
7601,M Mosehle,South Africa,DNB,0,-,-,-,-,-,1,England,Southampton,21-Jun-17,2017,0,0,0,England,Europe
7602,T Shamsi,South Africa,DNB,0,-,-,-,-,-,1,England,Southampton,21-Jun-17,2017,0,0,0,England,Europe
7603,Imran Tahir,South Africa,DNB,0,-,-,-,-,-,1,England,Southampton,21-Jun-17,2017,0,0,0,England,Europe
